id,name,iata_designator_code,icao_designator_code,call_sign,created_at,updated_at,alias,active,openflight_airline_id,logo_file_name,logo_content_type,logo_file_size,logo_updated_at,dominant_colour_hex
2,135 Airways,,GNL,GENERAL,2013-10-23 12:12:40.620161,2013-10-23 12:12:40.620161,\N,,2,,,,,
4,2 Sqn No 1 Elementary Flying Training School,,WYT,,2013-10-23 12:12:40.630635,2013-10-23 12:12:40.630635,\N,,4,,,,,
5,213 Flight Unit,,TFU,,2013-10-23 12:12:40.63571,2013-10-23 12:12:40.63571,\N,,5,,,,,
6,223 Flight Unit State Airline,,CHD,CHKALOVSK-AVIA,2013-10-23 12:12:40.640988,2013-10-23 12:12:40.640988,\N,,6,,,,,
7,224th Flight Unit,,TTF,CARGO UNIT,2013-10-23 12:12:40.645899,2013-10-23 12:12:40.645899,\N,,7,,,,,
8,247 Jet Ltd,,TWF,CLOUD RUNNER,2013-10-23 12:12:40.650855,2013-10-23 12:12:40.650855,\N,,8,,,,,
9,3D Aviation,,SEC,SECUREX,2013-10-23 12:12:40.655406,2013-10-23 12:12:40.655406,\N,,9,,,,,
10,40-Mile Air,Q5,MLA,MILE-AIR,2013-10-23 12:12:40.659734,2013-10-23 12:12:40.659734,\N,,10,,,,,
11,4D Air,,QRT,QUARTET,2013-10-23 12:12:40.66464,2013-10-23 12:12:40.66464,\N,,11,,,,,
12,611897 Alberta Limited,,THD,DONUT,2013-10-23 12:12:40.670306,2013-10-23 12:12:40.670306,\N,,12,,,,,
14,Abacus International,1B,,,2013-10-23 12:12:40.679678,2013-10-23 12:12:40.679678,\N,,14,,,,,
15,Abelag Aviation,W9,AAB,ABG,2013-10-23 12:12:40.684331,2013-10-23 12:12:40.684331,\N,,15,,,,,
16,Army Air Corps,,AAC,ARMYAIR,2013-10-23 12:12:40.689349,2013-10-23 12:12:40.689349,\N,,16,,,,,
17,Aero Aviation Centre Ltd.,,AAD,SUNRISE,2013-10-23 12:12:40.693968,2013-10-23 12:12:40.693968,\N,,17,,,,,
18,Aero Servicios Ejecutivos Internacionales,,SII,ASEISA,2013-10-23 12:12:40.698798,2013-10-23 12:12:40.698798,\N,,18,,,,,
19,Aero Biniza,,BZS,BINIZA,2013-10-23 12:12:40.704249,2013-10-23 12:12:40.704249,\N,,19,,,,,
20,Aero Albatros,,ABM,ALBATROS ESPANA,2013-10-23 12:12:40.709254,2013-10-23 12:12:40.709254,\N,,20,,,,,
21,Aigle Azur,ZI,AAF,AIGLE AZUR,2013-10-23 12:12:40.713563,2013-10-23 12:12:40.713563,\N,,21,,,,,
22,Aloha Airlines,AQ,AAH,ALOHA,2013-10-23 12:12:40.718592,2013-10-23 12:12:40.718592,\N,,22,,,,,
23,Alaska Island Air,,AAK,ALASKA ISLAND,2013-10-23 12:12:40.722851,2013-10-23 12:12:40.722851,\N,,23,,,,,
25,Aviation Management Corporation,,AAM,AM CORP,2013-10-23 12:12:40.732026,2013-10-23 12:12:40.732026,\N,,25,,,,,
26,Atlantis Airlines (USA),,AAO,ATLANTIS AIR,2013-10-23 12:12:40.73631,2013-10-23 12:12:40.73631,\N,,26,,,,,
27,Aerovista Airlines,,AAP,AEROVISTA GROUP,2013-10-23 12:12:40.741591,2013-10-23 12:12:40.741591,\N,,27,,,,,
29,Askari Aviation,4K,AAS,AL-AAS,2013-10-23 12:12:40.750793,2013-10-23 12:12:40.750793,\N,,29,,,,,
30,Australia Asia Airlines,,AAU,AUSTASIA,2013-10-23 12:12:40.756333,2013-10-23 12:12:40.756333,\N,,30,,,,,
31,Astro Air International,,AAV,ASTRO-PHIL,2013-10-23 12:12:40.762159,2013-10-23 12:12:40.762159,\N,,31,,,,,
32,Afriqiyah Airways,8U,AAW,AFRIQIYAH,2013-10-23 12:12:40.767459,2013-10-23 12:12:40.767459,\N,,32,,,,,
33,Afrinat International Airlines,Q9,AFU,,2013-10-23 12:12:40.7741,2013-10-23 12:12:40.7741,\N,,33,,,,,
34,Afric'air Express,,AAX,AFREX,2013-10-23 12:12:40.779826,2013-10-23 12:12:40.779826,\N,,34,,,,,
35,Allegiant Air,G4,AAY,ALLEGIANT,2013-10-23 12:12:40.788849,2013-10-23 12:12:40.788849,\N,,35,,,,,
36,Angus Aviation,,AAZ,ANGUS,2013-10-23 12:12:40.793972,2013-10-23 12:12:40.793972,\N,,36,,,,,
37,Artem-Avia,,ABA,ARTEM-AVIA,2013-10-23 12:12:40.800692,2013-10-23 12:12:40.800692,\N,,37,,,,,
38,African Business and Transportations,,ABB,AFRICAN BUSINESS-,2013-10-23 12:12:40.805495,2013-10-23 12:12:40.805495,\N,,38,,,,,
39,Aban Air,K5,ABE,ABAN,2013-10-23 12:12:40.809799,2013-10-23 12:12:40.809799,\N,,39,,,,,
40,Aerial Oy,,ABF,SKYWINGS,2013-10-23 12:12:40.813616,2013-10-23 12:12:40.813616,\N,,40,,,,,
41,Abakan-Avia,,ABG,ABAKAN-AVIA,2013-10-23 12:12:40.818511,2013-10-23 12:12:40.818511,\N,,41,,,,,
42,ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,2013-10-23 12:12:40.823185,2013-10-23 12:12:40.823185,\N,,42,,,,,
43,Abaet,,ABJ,Abaet,2013-10-23 12:12:40.827773,2013-10-23 12:12:40.827773,\N,,43,,,,,
44,Alberta Citylink,,ABK,ALBERTA CITYLINK,2013-10-23 12:12:40.833184,2013-10-23 12:12:40.833184,\N,,44,,,,,
45,APSA Colombia,,ABO,AEROEXPRESO,2013-10-23 12:12:40.838576,2013-10-23 12:12:40.838576,\N,,45,,,,,
46,Aerovias Bueno,,ABU,AEROBUENO,2013-10-23 12:12:40.843136,2013-10-23 12:12:40.843136,\N,,46,,,,,
47,Aerocenter,,ACR, Escuela de Formacion de Pioltos Privados de Avion,2013-10-23 12:12:40.84758,2013-10-23 12:12:40.84758,\N,,47,,,,,
48,Antrak Air,04,ABV,ANTRAK,2013-10-23 12:12:40.85254,2013-10-23 12:12:40.85254,\N,,48,,,,,
49,Airborne Express,GB,ABX,ABEX,2013-10-23 12:12:40.857022,2013-10-23 12:12:40.857022,\N,,49,,,,,
50,ABX Air,GB,ABX,ABEX,2013-10-23 12:12:40.86196,2013-10-23 12:12:40.86196,\N,,50,,,,,
51,ATA Brasil,,ABZ,ATA-BRAZIL,2013-10-23 12:12:40.866473,2013-10-23 12:12:40.866473,\N,,51,,,,,
52,Avcard Services,,ACC,,2013-10-23 12:12:40.871278,2013-10-23 12:12:40.871278,\N,,52,,,,,
53,Academy Airlines,,ACD,ACADEMY,2013-10-23 12:12:40.875491,2013-10-23 12:12:40.875491,\N,,53,,,,,
54,Aero Comondu,,ACO,AERO COMONDU,2013-10-23 12:12:40.880625,2013-10-23 12:12:40.880625,\N,,54,,,,,
55,Astral Aviation,8V,ACP,ASTRAL CARGO,2013-10-23 12:12:40.885176,2013-10-23 12:12:40.885176,\N,,55,,,,,
56,Air Cess,,ACS,,2013-10-23 12:12:40.890073,2013-10-23 12:12:40.890073,\N,,56,,,,,
57,Air Aurora,,AAI,BOREALIS,2013-10-23 12:12:40.895076,2013-10-23 12:12:40.895076,\N,,57,,,,,
58,Air Cargo Transportation System,,ACU,AFRISPIRIT,2013-10-23 12:12:40.903303,2013-10-23 12:12:40.903303,\N,,58,,,,,
59,Air Charter Service,,ACV,,2013-10-23 12:12:40.908042,2013-10-23 12:12:40.908042,\N,,59,,,,,
60,Aero Asia International,E4,RSO,AERO ASIA,2013-10-23 12:12:40.914932,2013-10-23 12:12:40.914932,\N,,60,,,,,
61,Air Charters,,ACX,PARAIR,2013-10-23 12:12:40.921303,2013-10-23 12:12:40.921303,\N,,61,,,,,
62,Air Togo,YT,TGA,AIR TOGO,2013-10-23 12:12:40.92727,2013-10-23 12:12:40.92727,\N,,62,,,,,
63,Air Somalia,,RSM,AIR SOMALIA,2013-10-23 12:12:40.933335,2013-10-23 12:12:40.933335,\N,,63,,,,,
64,Atlas Cargo Lines,,ACY,ATLAS CARGOLINES,2013-10-23 12:12:40.938934,2013-10-23 12:12:40.938934,\N,,64,,,,,
65,Airservices Australia,,ADA,AUSCAL,2013-10-23 12:12:40.945826,2013-10-23 12:12:40.945826,\N,,65,,,,,
66,Advance Leasing Company,4G,,,2013-10-23 12:12:40.95126,2013-10-23 12:12:40.95126,\N,,66,,,,,
67,Aztec Worldwide Airlines,7A,,,2013-10-23 12:12:40.9568,2013-10-23 12:12:40.9568,\N,,67,,,,,
68,Air Tindi,8T,,,2013-10-23 12:12:40.963436,2013-10-23 12:12:40.963436,\N,,68,,,,,
69,Antonov Airlines,,ADB,ANTONOV BUREAU,2013-10-23 12:12:40.968753,2013-10-23 12:12:40.968753,\N,,69,,,,,
70,Air Atlantic Dominicana,,ADC,ATLAN-DOMINICAN,2013-10-23 12:12:40.974037,2013-10-23 12:12:40.974037,\N,,70,,,,,
71,Advanced Air Co.,,ADD,,2013-10-23 12:12:40.97913,2013-10-23 12:12:40.97913,\N,,71,,,,,
72,Ada Air,ZY,ADE,ADA AIR,2013-10-23 12:12:40.984222,2013-10-23 12:12:40.984222,\N,,72,,,,,
73,Aerea Flying Training Organization,,ADG,AEREA TRAINING,2013-10-23 12:12:40.988805,2013-10-23 12:12:40.988805,\N,,73,,,,,
74,Audeli Air,,ADI,AUDELI,2013-10-23 12:12:40.993788,2013-10-23 12:12:40.993788,\N,,74,,,,,
